Customer,Address,norm_address,lat,lon
HEB - AUSTIN 20,"6001 PARMER LANE AUSTIN , TX 78727","6001 West Parmer Lane, Austin, Texas 78727, United States",30.441456,-97.742537
HEB - Austin 8,"2400 S Congress Ave, Austin, TX 78704","2400 South Congress Avenue, Austin, Texas 78704, United States",30.238742,-97.755157
Kroger - Houston Shepherd 000312,"1035 N Shepherd Dr, Houston, TX 77008","1035 North Shepherd Drive, Houston, Texas 77008, United States",29.789327,-95.410978
HEB - Fry Road,"1550 FRY ROAD HOUSTON , TX 77084","1550 North Fry Road, Houston, Texas 77084, United States",29.789315,-95.716753
HEB - SAN ANTONIO 43,"999 E Basse Rd Suite 150, San Antonio, TX 78209","999 East Basse Road, San Antonio, Texas 78209, United States",29.498109,-98.468524
HEB - Tower Point,"949 William D. Fitch Pkwy, College Station, TX 77845","949 William D. Fitch Parkway, College Station, Texas 77845, United States",30.559436,-96.261164
HEB - Bunker Hill,"9710 KATY FREEWAY HOUSTON , TX 77055","9710 Katy Freeway, Houston, Texas 77055, United States",29.787703,-95.532292
HEB - Cypress Fry,"9722 Fry Rd, Cypress, TX 77433","9722 Fry Road, Cypress, Texas 77433, United States",29.927109,-95.726146
HEB - SAN ANTONIO 31,"8503 NW MILITARY HWY SAN ANTONIO , TX 78231","8503 NW Military Hwy, San Antonio, Texas 78231, United States",29.56365,-98.53708
HEB - Buffalo Heights,"3663 Washington Ave, Houston, TX 77007","3663 Washington Avenue, Houston, Texas 77007, United States",29.768708,-95.396305
HEB - Belton 39,"2509 N Main St, Belton, TX 76513","2509 North Main Street, Belton, Texas 76513, United States",31.081275,-97.455375
HEB - Magnolia,"7988 Farm to Market Rd 1488, Magnolia, TX 77354","7988 Farm-to-Market Road 1488, Magnolia, Texas 77355, United States",30.191253,-95.785722
HEB - SAN ANTONIO 01,"1955 NACOGDOCHES SAN ANTONIO , TX 78209","1955 Nacogdoches Road, San Antonio, Texas 78209, United States",29.507577,-98.45831
HEB - Summerwood,"12680 W Lake Houston Pkwy #8, Houston, TX 77044","12680 West Lake Houston Parkway, Houston, Texas 77044, United States",29.923216,-95.197013
Kroger - Matlock Mansfield 000584,"3001 Matlock Rd, Mansfield, TX 76063","3001 Matlock Road, Mansfield, Texas 76063, United States",32.607099,-97.118221
HEB - GEORGETOWN 2,"4500 FM 2338, Georgetown, TX 78628","4500 Williams Drive, Georgetown, Texas 78633, United States",30.682498,-97.721024
HEB - Alamo Ranch 733,"12125 ALAMO RANCH PKWY, SAN ANTONIO, TX  78253","12125 Alamo Ranch Parkway, San Antonio, Texas 78253, United States",29.486039,-98.731975
HEB - Wimberley,"14501, Ranch Rd 12, Wimberley, TX 78676","14501 Ranch Road 12, Wimberley, Texas 78676, United States",30.001878,-98.102752
HEB - AUSTIN 01,"2701 E 7th St, Austin, TX 78702","2701 East 7th Street, Austin, Texas 78702, United States",30.259516,-97.71147
HEB - Blackhawk,"9828 BLACKHAWK BLVD. HOUSTON , TX 77075","9828 Blackhawk Boulevard, Houston, Texas 77075, United States",29.601908,-95.249724
HEB - LEANDER PLUS,"651 N. U.S. HWY 183 LEANDER , TX 78641","651 North Highway 183, Leander, Texas 78641, United States",30.582303,-97.858112
HEB - PFLUGERVILLE 2,"201 Farm to Market 685, Pflugerville, TX 78660","201 East Pecan Street, Pflugerville, Texas 78660, United States",30.439191,-97.619936
HEB - San Antonio Bulverde 48,"17238 Bulverde Rd, San Antonio, TX 78247","17238 Bulverde Road, San Antonio, Texas 78247, United States",29.595168,-98.418323
HEB - Conroe,"3875 W Davis St, Conroe, TX 77304","3875 West Davis Street, Conroe, Texas 77304, United States",30.324643,-95.501225
HEB - RIVERPARK,"19900 SW FWY,SUGARLAND SUGARLAND , TX 77479","19900 Southwest Freeway, Sugar Land, Texas 77479, United States",29.564906,-95.685281
HEB - SAN ANTONIO 12,"18140 SAN PEDRO SAN ANTONIO , TX 78232","18140 San Pedro Ave, San Antonio, Texas 78232, United States",29.60809,-98.46873
HEB - austin 9,"5808 BURNET ROAD AUSTIN , TX 78756","5808 Burnet Road, Austin, Texas 78756, United States",30.334256,-97.741083
HEB - Kingwood 2,"19529 Northpark Dr, Kingwood, TX 77339","19529 Northpark Drive, Humble, Texas 77339, United States",30.068734,-95.251281
HEB - Lakeway,"2000 Ranch Road 620 S, Lakeway, TX 78734","2000 Ranch Road 620 S, Lakeway, Texas 78734, United States",30.344799,-97.967974
HEB - ROUND ROCK 1,"3450 GATTIS SCHOOL ROAD ROUND ROCK , TX 78664","3450 Gattis School Road, Round Rock, Texas 78664, United States",30.496571,-97.626821
HEB - TOMBALL,"28520 TOMBALL PWY TOMBALL , TX 77375","28520 Tomball Parkway, Tomball, Texas 77375, United States",30.088717,-95.631623
HEB - SAN ANTONIO 15,"910 KITTY HAWK, UNIVERSAL CITY, TX 78148","910 Kitty Hawk Road, Universal City, Texas 78148, United States",29.546,-98.311621
HEB - Meyerland,"4700 Beechnut St, Houston, TX 77096","4700 Beechnut Street, Houston, Texas 77096, United States",29.689398,-95.459615
HEB - ROUND ROCK 3,"603 LOUIS HENNA ROUND ROCK , TX 78664","603 Louis Henna Boulevard, Round Rock, Texas 78664, United States",30.481012,-97.659263
HEB - Bryan,"725 E Villa Maria Rd Ste 1300, Bryan, TX 77802","725 East Villa Maria Road, Bryan, Texas 77802, United States",30.643806,-96.351385
HEB - Louretta,"7310 Louetta Rd, Spring, TX 77379","7310 Louetta Road, Spring, Texas 77379, United States",30.022242,-95.527236
HEB - ROUND ROCK 4  PLUS,"1700 E.PALM VALLEY ROUND ROCK , TX 78664","1700 Palm Valley Boulevard, Round Rock, Texas 78664, United States",30.517829,-97.659818
HEB - SAN ANTONIO 17,"12777 IH 10 W SAN ANTONIO , TX 78230","12777 Interstate 10 West, San Antonio, Texas 78230, United States",29.561952,-98.588034
HEB - San Antonio #46,"23635 WILDERNESS OAK SAN ANTONIO , TX 78258","23635 Wilderness Oak, San Antonio, Texas 78258, United States",29.662171,-98.500472
HEB - Westheimer,"11815 WESTHEIMER HOUSTON , TX 77077","11815 Westheimer Road, Houston, Texas 77077, United States",29.735134,-95.58731
Kroger - Dallas Forest 000588,"9140 Forest Ln, Dallas, TX 75243","9140 Forest Lane, Dallas, Texas 75243, United States",32.908409,-96.74527
HEB - South Congress,"2400 S. CONGRESS, AUSTIN, TX  78704-5512","2400 South Congress Avenue, Austin, Texas 78704, United States",30.238742,-97.755157
Kroger - Old Denton 000460,"4038 Old Denton Road Carrollton , TX 75007","4038 Old Denton Road, Carrollton, Texas 75007, United States",33.019219,-96.913827
Kroger - Flower Mound 000585,"1101 Flower Mound Rd. Flower Mound , TX 75028","1101 Flower Mound Road, Flower Mound, Texas 75028, United States",33.010021,-97.046612
Kroger - Keller 000516,"976 Keller Pkwy. Keller , TX 76248","976 Keller Parkway, Keller, Texas 76248, United States",32.932527,-97.230225
Kroger - Arlington South Cooper 000445,"5330 S Cooper St, Arlington, TX 76017","5330 South Cooper Street, Arlington, Texas 76017, United States",32.660824,-97.135889
Kroger - Sandy Lake 000448,"950 E. Sandy Lake Coppell , TX 75019","950 East Sandy Lake Road, Coppell, Texas 75019, United States",32.970486,-96.960826
Kroger - Lake Forest Mckinney 000567,"2901 Lake Forest Dr, McKinney, TX 75070","2901 Lake Forest Drive, McKinney, Texas 75072, United States",33.174565,-96.6825
Kroger - Richardson 000526,"536 Centennial Blvd, Richardson, TX 75081","536 Centennial Boulevard, Richardson, Texas 75081, United States",32.936979,-96.720567
Kroger - Main Frisco 000547,"3205 Main St. Frisco , TX 75034","3205 Main Street, Frisco, Texas 75034, United States",33.151419,-96.862478
HEB - Hutto,"5000 GATTIS SCHOOL RD, , HUTTO, TX  78634","5000 Gattis School Road, Hutto, Texas 78634, United States",30.502519,-97.583278
HEB - Huntsville 728,"1702 11th St, Huntsville, TX 77340","1702 11th Street, Huntsville, Texas 77340, United States",30.722694,-95.560869
HEB - Vintage Market,"10919 LOUETTA ROAD HOUSTON , TX 77070","10919 Louetta Road, Houston, Texas 77070, United States",29.996564,-95.577388
Kroger - Coit Plano 000598,"9700 Coit Road Plano , TX 75025","9700 Coit Road, Plano, Texas 75025, United States",33.109955,-96.766751
Kroger - Preston Frisco 000560,"7500 Preston Rd. Frisco , TX 75034","7500 Preston Rd, Frisco, Texas 75035, United States",33.14084,-96.80444
Kroger - Plano 14th 000563,"4017 14th St, Plano, TX 75074","4017 14th Street, Plano, Texas 75074, United States",33.015048,-96.655595
Kroger - Sacshe 000461,"5190 Texas 78 Sachse , TX 75048","5190 Texas Highway 78, Sachse, Texas 75048, United States",32.969364,-96.604123
HEB - KYLE  PLUS,"5401 SOUTH FM 16526   KYLE , TX 78640","Niederwald Strasse, Kyle, Texas 78640, United States",30.0280372,-97.7590741
Kroger - Independence Plano 000522,"7100 Independence Pkwy. Plano , TX 75025","7100 Independence Pkwy, Plano, Texas 75025, United States",33.07296,-96.75005
HEB - LEON SPRINGS,"24165 IH10 & BOERNE STG RD SAN ANTONIO , TX 78257","San Antonio, Texas 78257, United States",29.61,-98.6
Kroger - Preston Campbell 000689,"17194 Preston Rd, Dallas, TX 75248","17194 Preston Road, Dallas, Texas 75248, United States",32.983904,-96.801918
HEB - San Antonio West Ave,"6000 West Ave, San Antonio, TX 78213","6000 West Avenue, San Antonio, Texas 78213, United States",29.514884,-98.524585
HEB - Cross Creek Ranch,"4950 FM 1463, Katy, TX 77494","4950 FM 1463 Rd, Katy, Texas 77494, United States",29.74838,-95.83723
Kroger - Houston Buffalo Speedway 000314,5150 Buffalo Speedway Houston TX 77008,"5150 Buffalo Speedway, Houston, Texas 77005, United States",29.727311,-95.430217
Kroger - Houston Eldridge 000349,1520 Eldridge Pkwy Houston TX 77077,"1520 Eldridge Parkway, Houston, Texas 77077, United States",29.75754,-95.627428
Kroger - Houston Montrose 000243,"3300 Montrose Blvd, Houston, TX 77006","3300 Montrose Boulevard, Houston, Texas 77006, United States",29.7429,-95.392054
Kroger - Houston Studemont 000017,"1440 Studemont Street, Houston, TX 77007","1440 Studemont Street, Houston, Texas 77007, United States",29.77387,-95.38964
HEB - Sienna Market,"8900 Hwy 6, Missouri City, TX 77459","8900 Alvin Sugarland Road, Missouri City, Texas 77459, United States",29.536926,-95.53646
Kroger - Houston El Dorado 000300,"1950 El Dorado Blvd, Houston, TX 77062","1950 El Dorado Boulevard, Houston, Texas 77062, United States",29.578232,-95.121516
Kroger - Houston Champion Forest 000307,15802 Champion Forest Dr Spring TX 77379,"15802 Champion Forest Drive, Spring, Texas 77379, United States",30.002023,-95.53227
HEB - San Antonio 46,"23635 Wilderness Oak, San Antonio, TX 78258","23635 Wilderness Oak, San Antonio, Texas 78258, United States",29.662171,-98.500472
HEB - San Antonio Wurzbach,"H-E-B, 9900 Wurzbach Rd, San Antonio, TX 78230","H-E-B, 8503 NW Military Hwy, San Antonio, Texas 78230, United States",29.5529535,-98.534171
HEB - San Antonio 11 Valley High,"302 Valley High Dr, San Antonio, TX 78227","302 Vanley Drive, San Antonio, Texas 78228, United States",29.44792,-98.569128
